0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:22:22 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:36 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 15796
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:36 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:36 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:49 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 15966
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:49 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:49 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:53 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:53 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15617
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:23:53 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:24:52 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 15967
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:24:52 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:24:55 -0800] "POST /project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:24:55 -0800] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 15617
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:24:55 -0800] "GET /resources/demos/style.css HTTP/1.1" 404 742
